TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598347060.45,-0.2075736,-0.0042431,0.4526045,-0.3320391,0.0589163,0.2686932,-0.3991329,0.0609104,0.1442769,-0.3965651,0.0613135,0.1441929,0.0,0.0,0.0,-0.2859128,-0.1125874,0.047981,-0.2829373,-0.1239245,0.0200973,0.0,0.0,0.0,-0.3853673,0.0040029,0.0982721,-0.3226294,-0.1111423,0.0281881,-0.2973187,-0.1298525,0.0063909,-0.2882774,-0.1267818,-0.0111446,-0.4021834,-0.0077877,0.0912799,-0.3916388,-0.0440716,0.0491209,-0.3592764,-0.0752095,0.0136702,-0.3227526,-0.1167075,-0.0178182,-0.4069839,-0.0216363,0.0829489,-0.398574,-0.0540357,0.0472204,-0.379494,-0.0783837,0.0143318,-0.3569287,-0.1013869,-0.0147778,-0.412342,-0.0242291,0.0726847,-0.4058341,-0.0502448,0.0486399,-0.3881148,-0.0812204,0.0189329,-0.3803607,-0.0917412,2.45e-05
1598347060.49,-0.2073633,-0.0050651,0.4550873,0.0,0.0,0.0,-0.3911139,0.0456728,0.1392155,-0.3839058,0.042787,0.1351385,0.0,0.0,0.0,-0.2859128,-0.1125874,0.047981,-0.2829373,-0.1239245,0.0200973,0.0,0.0,0.0,-0.3826473,-0.0006308,0.0942715,-0.3184917,-0.1144372,0.0271071,-0.2953593,-0.1288408,0.0042768,-0.2889677,-0.1240839,-0.0192938,-0.4071268,-0.0036725,0.0927384,-0.3916388,-0.0440716,0.0491209,-0.3613028,-0.0715563,0.0146044,-0.3227526,-0.1167075,-0.0178182,-0.4095696,-0.0212528,0.0807346,-0.4034732,-0.0451607,0.0472693,-0.3774014,-0.0820264,0.0133955,-0.3548522,-0.1050563,-0.015643,-0.4024233,-0.0454656,0.0641424,-0.4033868,-0.0540279,0.0451549,-0.3881148,-0.0812204,0.0189329,-0.3803607,-0.0917412,2.45e-05
1598347060.52,-0.2021835,-0.0042519,0.4549178,0.0,0.0,0.0,-0.3911139,0.0456728,0.1392155,-0.3837006,0.0419849,0.1375614,0.0,0.0,0.0,-0.284252,-0.1155284,0.0448181,-0.2831116,-0.123243,0.0180389,0.0,0.0,0.0,-0.3851692,0.0032287,0.1006105,-0.3204915,-0.1154697,0.029265,-0.2974919,-0.1291756,0.0043466,-0.28845,-0.1261073,-0.0131819,-0.4075187,0.0013303,0.0966521,-0.3872605,-0.0473287,0.0480321,-0.3550109,-0.078511,0.0126628,-0.3209313,-0.1197081,-0.0207392,-0.4067897,-0.0223953,0.0852415,-0.4011907,-0.0495158,0.048488,-0.3862948,-0.0665449,0.0173749,-0.3548522,-0.1050563,-0.015643,-0.4069904,-0.0298652,0.0758284,-0.4033868,-0.0540279,0.0451549,-0.3927369,-0.0690553,0.0219506,-0.380263,-0.0877425,0.0008538
1598347060.55,-0.2075736,-0.0042431,0.4526045,-0.3346602,0.0585048,0.2687789,-0.390908,0.0448678,0.1416472,-0.3808924,0.0366036,0.1357757,0.0,0.0,0.0,-0.2859128,-0.1125874,0.047981,-0.2829373,-0.1239245,0.0200973,0.0,0.0,0.0,-0.3853673,0.0040029,0.0982721,-0.3184917,-0.1144372,0.0271071,-0.2955701,-0.1328379,0.0033947,-0.2861522,-0.1264482,-0.0112141,-0.4075187,0.0013303,0.0966521,-0.3942096,-0.0395445,0.050387,0.0,0.0,0.0,-0.3250742,-0.1163631,-0.0198064,-0.4069508,-0.0175263,0.0865347,-0.4059007,-0.04138,0.0507696,-0.3793116,-0.0790967,0.0164853,-0.3527758,-0.1087258,-0.0165082,-0.4095728,-0.0253672,0.0771743,-0.4105772,-0.0421143,0.0509226,-0.3927369,-0.0690553,0.0219506,-0.3781455,-0.0913934,-4.8e-05
1598347060.59,-0.2021835,-0.0042519,0.4549178,0.0,0.0,0.0,-0.3889606,0.0419934,0.1353039,-0.3860407,0.0464694,0.1390494,0.0,0.0,0.0,-0.2859128,-0.1125874,0.047981,-0.2831116,-0.123243,0.0180389,0.0,0.0,0.0,-0.380019,-0.005905,0.0952055,-0.3184917,-0.1144372,0.0271071,-0.2955701,-0.1328379,0.0033947,-0.2844349,-0.1294604,-0.0141458,-0.404406,-0.0089353,0.0936781,-0.3846989,-0.0518572,0.0467663,-0.3592764,-0.0752095,0.0136702,-0.3289047,-0.1096872,-0.0160083,-0.4093754,-0.0220118,0.0830272,-0.3992461,-0.0476776,0.0439606,-0.37743,-0.0773181,0.0121048,-0.3548522,-0.1050563,-0.015643,-0.4125075,-0.0275977,0.0668837,-0.4014654,-0.0569122,0.0419375,-0.3908073,-0.0719716,0.0188301,-0.3781455,-0.0913934,-4.8e-05
1598347060.62,-0.2021835,-0.0042519,0.4549178,0.0,0.0,0.0,-0.3859252,0.0358134,0.1359404,-0.3864332,0.0423902,0.1352212,0.0,0.0,0.0,-0.2860902,-0.1118943,0.0458873,-0.2829373,-0.1239245,0.0200973,0.0,0.0,0.0,-0.3853673,0.0040029,0.0982721,-0.3183149,-0.115128,0.0291937,-0.2973187,-0.1298525,0.0063909,-0.2844349,-0.1294604,-0.0141458,-0.4100331,0.0058238,0.0980399,-0.387072,-0.0480655,0.0502578,-0.3592764,-0.0752095,0.0136702,-0.3227526,-0.1167075,-0.0178182,-0.4119133,-0.0134111,0.087985,-0.4011907,-0.0495158,0.048488,-0.3815866,-0.0747409,0.0152682,-0.3548522,-0.1050563,-0.015643,-0.4175283,-0.0152243,0.0753418,-0.4033868,-0.0540279,0.0451549,-0.3953787,-0.064512,0.0231395,-0.380263,-0.0877425,0.0008538
1598347060.65,-0.2021835,-0.0042519,0.4549178,0.0,0.0,0.0,-0.3861295,0.036612,0.1335281,-0.3891952,0.0484863,0.1318373,0.0,0.0,0.0,-0.2844287,-0.1148376,0.0427315,-0.2849711,-0.1195855,0.0190312,0.0,0.0,0.0,-0.3826473,-0.0006308,0.0942715,0.0,0.0,0.0,-0.2974919,-0.1291756,0.0043466,-0.2861522,-0.1264482,-0.0112141,-0.4126803,0.0062165,0.0957728,-0.387449,-0.0465918,0.0458064,-0.3574318,-0.0781519,0.0105896,-0.3269023,-0.1133658,-0.0168781,-0.4093794,-0.0261233,0.0794581,-0.3989496,-0.0525678,0.0427866,-0.37743,-0.0773181,0.0121048,-0.3569287,-0.1013869,-0.0147778,-0.4054075,-0.0394716,0.0609618,-0.4035746,-0.053294,0.042938,0.0,0.0,0.0,-0.380263,-0.0877425,0.0008538
1598347060.69,-0.2021835,-0.0042519,0.4549178,0.0,0.0,0.0,-0.3911139,0.0456728,0.1392155,0.0,0.0,0.0,0.0,0.0,0.0,-0.2860902,-0.1118943,0.0458873,-0.2849711,-0.1195855,0.0190312,0.0,0.0,0.0,-0.3853673,0.0040029,0.0982721,-0.3183149,-0.115128,0.0291937,-0.2936175,-0.1318297,0.0012878,-0.2889677,-0.1240839,-0.0192938,-0.4046986,-0.0032913,0.0926589,-0.3846989,-0.0518572,0.0467663,-0.3613028,-0.0715563,0.0146044,-0.3227526,-0.1167075,-0.0178182,-0.4044213,-0.0261314,0.081586,-0.3987618,-0.0533017,0.0450035,-0.3796764,-0.0776708,0.0121783,-0.3570288,-0.105398,-0.0155718,-0.4076745,-0.0323333,0.0702932,-0.4033868,-0.0540279,0.0451549,-0.3858684,-0.0808677,0.0188594,-0.3781455,-0.0913934,-4.8e-05
1598347060.72,-0.2021835,-0.0042519,0.4549178,-0.339794,0.0633501,0.2711386,-0.3887554,0.0411912,0.1377268,-0.3885773,0.0460711,0.1391325,0.0,0.0,0.0,-0.2859128,-0.1125874,0.047981,-0.2829373,-0.1239245,0.0200973,0.0,0.0,0.0,-0.3824501,-0.0014014,0.0965994,-0.3183149,-0.115128,0.0291937,-0.2973187,-0.1298525,0.0063909,-0.2862088,-0.1311372,-0.010016,0.0,0.0,0.0,-0.3872605,-0.0473287,0.0480321,0.0,0.0,0.0,-0.3248998,-0.1170446,-0.017748,-0.4046148,-0.0253753,0.0793022,-0.4034732,-0.0451607,0.0472693,-0.3774014,-0.0820264,0.0133955,-0.3548522,-0.1050563,-0.015643,-0.412342,-0.0242291,0.0726847,-0.4081313,-0.0458921,0.0474217,-0.3858684,-0.0808677,0.0188594,-0.3760279,-0.0950444,-0.0009498
1598347060.75,-0.2021835,-0.0042519,0.4549178,0.0,0.0,0.0,-0.3911139,0.0456728,0.1392155,-0.3839058,0.042787,0.1351385,0.0,0.0,0.0,-0.2877504,-0.1089555,0.0490573,-0.2831116,-0.123243,0.0180389,0.0,0.0,0.0,-0.3824501,-0.0014014,0.0965994,-0.3204454,-0.1107994,0.0281166,-0.2955701,-0.1328379,0.0033947,-0.2859797,-0.1271227,-0.0091768,-0.410156,0.0017215,0.0943935,-0.387449,-0.0465918,0.0458064,-0.3613028,-0.0715563,0.0146044,-0.3248998,-0.1170446,-0.017748,-0.4046148,-0.0253753,0.0793022,-0.3990575,-0.0484144,0.0461863,-0.3815866,-0.0747409,0.0152682,-0.3548522,-0.1050563,-0.015643,-0.4097489,-0.0287315,0.0713561,-0.4035746,-0.053294,0.042938,-0.3879818,-0.0772331,0.0198105,-0.3781455,-0.0913934,-4.8e-05
