TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598347214.82,-0.1758249,-0.016205,0.4449692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2751704,-0.1101798,0.04553,-0.2748326,-0.1258925,0.0168365,-0.2775655,-0.1304794,-0.008263,-0.3755597,0.0012837,0.0917053,0.0,0.0,0.0,-0.2974919,-0.1291756,0.0043466,-0.2859797,-0.1271227,-0.0091768,-0.3900288,-0.0107707,0.0895854,-0.3733865,-0.0581985,0.0420615,-0.3486064,-0.0849734,0.0062274,-0.3275701,-0.1153373,-0.023853,-0.3925589,-0.0283829,0.0776375,-0.3876343,-0.0547406,0.0414849,-0.3684583,-0.0841141,0.0077309,-0.3527758,-0.1087258,-0.0165082,-0.3934897,-0.0342378,0.0663199,-0.3899395,-0.0551026,0.0415603,-0.3770652,-0.078744,0.0164118,-0.3778601,-0.088099,0.0029117
1598347214.86,-0.1767964,-0.0064812,0.4535374,0.0,0.0,0.0,-0.3737961,0.0443743,0.1348076,-0.368719,0.0401763,0.1305393,0.0,0.0,0.0,-0.2735457,-0.1131289,0.0423753,-0.27667,-0.1222316,0.0178281,-0.2771338,-0.127137,-0.0053804,-0.3782476,0.005926,0.0956942,-0.3569486,-0.0475003,0.0458582,-0.2992399,-0.1261925,0.0073499,-0.2859797,-0.1271227,-0.0091768,-0.3925072,-0.0062685,0.0909632,-0.3759213,-0.0536626,0.0433176,-0.3506193,-0.0813133,0.0071471,-0.3275701,-0.1153373,-0.023853,-0.3950263,-0.0197589,0.0825576,-0.3876343,-0.0547406,0.0414849,-0.3729372,-0.0766127,0.0119578,-0.3548522,-0.1050563,-0.015643,-0.3978833,-0.0268685,0.0709678,-0.3922447,-0.0554645,0.0416358,-0.3791498,-0.0751024,0.017355,-0.3778601,-0.088099,0.0029117
1598347214.89,-0.1749284,-0.0115481,0.4504371,0.0,0.0,0.0,-0.3785902,0.0641357,0.1436047,-0.3664233,0.0356787,0.1290703,0.0,0.0,0.0,-0.2735457,-0.1131289,0.0423753,-0.2748326,-0.1258925,0.0168365,-0.2754477,-0.1301468,-0.0083323,-0.3729343,0.0008942,0.0939537,0.0,0.0,0.0,-0.2974919,-0.1291756,0.0043466,-0.2859797,-0.1271227,-0.0091768,-0.3875504,-0.0152729,0.0882076,-0.3737594,-0.0567411,0.0376594,-0.3506193,-0.0813133,0.0071471,-0.3295817,-0.1116527,-0.023004,-0.3952205,-0.0189999,0.080265,-0.3855164,-0.0536471,0.0391996,-0.3684583,-0.0841141,0.0077309,-0.355029,-0.1043655,-0.0177296,-0.3911331,-0.0338678,0.0662427,-0.3921998,-0.0507446,0.0403427,-0.3746047,-0.0872875,0.0143628,-0.3759303,-0.0910456,-0.0001205
1598347214.93,-0.1767964,-0.0064812,0.4535374,0.0,0.0,0.0,-0.3761003,0.0488675,0.1362857,-0.3666269,0.0364744,0.1266668,0.0,0.0,0.0,-0.2735457,-0.1131289,0.0423753,-0.27667,-0.1222316,0.0178281,-0.2771338,-0.127137,-0.0053804,-0.3685356,-0.0066006,0.0865654,-0.3569486,-0.0475003,0.0458582,-0.2953593,-0.1288408,0.0042768,-0.2861522,-0.1264482,-0.0112141,-0.3877453,-0.0145109,0.0859062,-0.3779491,-0.0500341,0.0443224,-0.3486064,-0.0849734,0.0062274,-0.3295817,-0.1116527,-0.023004,-0.397543,-0.0152567,0.083919,-0.3895117,-0.0518494,0.0447008,-0.3750083,-0.0729641,0.0128864,-0.3548522,-0.1050563,-0.015643,-0.3927516,-0.0276297,0.0753625,-0.3897523,-0.0558342,0.0437702,-0.3791498,-0.0751024,0.017355,-0.3757504,-0.0917487,0.0020031
1598347214.96,-0.175137,-0.0107331,0.4479754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2735457,-0.1131289,0.0423753,-0.27667,-0.1222316,0.0178281,-0.2754477,-0.1301468,-0.0083323,-0.3729343,0.0008942,0.0939537,0.0,0.0,0.0,-0.2994137,-0.1255133,0.0052985,-0.2859797,-0.1271227,-0.0091768,0.0,0.0,0.0,0.0,0.0,0.0,-0.3553745,-0.0770897,0.0083698,-0.3234187,-0.1186858,-0.0247719,-0.3924406,-0.0201425,0.084772,-0.3916388,-0.0440716,0.0491209,-0.3708661,-0.0802611,0.0110292,-0.3527758,-0.1087258,-0.0165082,-0.3925589,-0.0283829,0.0776375,-0.3939678,-0.0444372,0.0491971,-0.3727415,-0.0820339,0.0153954,-0.3780405,-0.0873936,0.0007811
1598347214.99,-0.1767964,-0.0064812,0.4535374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2751704,-0.1101798,0.04553,-0.2764956,-0.1229131,0.0198865,-0.2754477,-0.1301468,-0.0083323,-0.3705393,-0.003618,0.0925698,0.0,0.0,0.0,-0.2953593,-0.1288408,0.0042768,-0.2859797,-0.1271227,-0.0091768,0.0,0.0,0.0,-0.3710374,-0.0620085,0.0386132,-0.3506193,-0.0813133,0.0071471,-0.3295817,-0.1116527,-0.023004,-0.3974178,-0.0201344,0.0826359,-0.3850529,-0.0592722,0.0402361,-0.3682772,-0.0848218,0.0098685,-0.3547448,-0.101044,-0.0148493,-0.3958455,-0.0304761,0.0699061,-0.3899395,-0.0551026,0.0415603,-0.3814035,-0.0754562,0.0174287,-0.3736408,-0.0953985,0.0010944
1598347215.03,-0.1767964,-0.0064812,0.4535374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2767939,-0.1072353,0.0486988,-0.2764956,-0.1229131,0.0198865,-0.2754477,-0.1301468,-0.0083323,-0.3806518,0.0104368,0.0970784,0.0,0.0,0.0,-0.2953593,-0.1288408,0.0042768,-0.2859797,-0.1271227,-0.0091768,-0.3925072,-0.0062685,0.0909632,-0.369009,-0.0656394,0.0376154,-0.3487869,-0.084268,0.0040968,-0.3295817,-0.1116527,-0.023004,-0.3952205,-0.0189999,0.080265,-0.3829433,-0.0581831,0.0379599,-0.3731196,-0.0758997,0.0098042,-0.3547448,-0.101044,-0.0148493,-0.3936811,-0.0334898,0.0640607,-0.3901267,-0.0543709,0.0393505,-0.3774014,-0.0820264,0.0133955,-0.3759303,-0.0910456,-0.0001205
1598347215.06,-0.1749284,-0.0115481,0.4504371,0.0,0.0,0.0,0.0,0.0,0.0,-0.3615747,0.0265735,0.1234545,0.0,0.0,0.0,-0.2757223,-0.1134706,0.0424466,-0.27667,-0.1222316,0.0178281,-0.2752758,-0.130819,-0.0063021,-0.3782033,0.0108212,0.0969983,0.0,0.0,0.0,-0.2953593,-0.1288408,0.0042768,-0.2858071,-0.1277971,-0.0071395,-0.3925072,-0.0062685,0.0909632,-0.3761085,-0.052931,0.0411077,-0.3486064,-0.0849734,0.0062274,-0.3295817,-0.1116527,-0.023004,-0.394892,-0.0246352,0.0812742,-0.3850529,-0.0592722,0.0402361,-0.3751913,-0.0722488,0.0107258,-0.3526756,-0.1047146,-0.0157142,-0.3934897,-0.0342378,0.0663199,-0.3873489,-0.0596327,0.0403113,-0.3840185,-0.0709058,0.018608,-0.3780405,-0.0873936,0.0007811
1598347215.09,-0.1767964,-0.0064812,0.4535374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2775317,-0.1098296,0.0435078,-0.2748326,-0.1258925,0.0168365,-0.2752758,-0.130819,-0.0063021,-0.3780045,0.0100441,0.0993455,0.0,0.0,0.0,-0.2994137,-0.1255133,0.0052985,-0.2818012,-0.1311444,-0.0081244,0.0,0.0,0.0,-0.3756825,-0.058559,0.0421366,-0.3486064,-0.0849734,0.0062274,-0.3295817,-0.1116527,-0.023004,-0.3948322,-0.020518,0.0848502,-0.3895117,-0.0518494,0.0447008,-0.3708661,-0.0802611,0.0110292,-0.3506065,-0.1083852,-0.0165791,-0.3951247,-0.0280023,0.0754401,-0.3918242,-0.0522125,0.0447765,-0.3789668,-0.0758177,0.0195155,-0.3735353,-0.0914009,0.0019306
1598347215.13,-0.1749284,-0.0115481,0.4504371,0.0,0.0,0.0,0.0,0.0,0.0,-0.3689305,0.035285,0.1291524,0.0,0.0,0.0,-0.2767939,-0.1072353,0.0486988,-0.2764956,-0.1229131,0.0198865,-0.2794316,-0.1267962,-0.0073482,-0.3756102,0.0055348,0.0979528,-0.3570783,-0.0425899,0.0470444,-0.2994137,-0.1255133,0.0052985,-0.2859797,-0.1271227,-0.0091768,-0.3925072,-0.0062685,0.0909632,-0.3761085,-0.052931,0.0411077,-0.3486064,-0.0849734,0.0062274,-0.3275701,-0.1153373,-0.023853,-0.3925589,-0.0283829,0.0776375,-0.3806473,-0.0578226,0.0378848,-0.3710479,-0.0795505,0.0088828,-0.3527758,-0.1087258,-0.0165082,-0.3958455,-0.0304761,0.0699061,-0.3850529,-0.0592722,0.0402361,-0.3770652,-0.078744,0.0164118,-0.37382,-0.0946977,-0.0010221
