TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598532539.58,-0.2037422,-0.0214322,0.4483407,-0.3839058,0.042787,0.1351385,-0.3784309,0.0476641,0.1388004,0.0,0.0,0.0,-0.279722,-0.1155357,0.0467622,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.382928,0.0043859,0.0981923,0.0,0.0,0.0,-0.2949602,-0.1255205,0.0072099,-0.2836819,-0.1274635,-0.0072091,-0.4021834,-0.0077877,0.0912799,-0.3968061,-0.0267219,0.0585663,-0.3498951,-0.0841441,0.0156977,-0.3116768,-0.1210808,-0.0128138,-0.406997,-0.0257493,0.0793802,-0.4012243,-0.0406458,0.0506165,-0.3725716,-0.0733255,0.0149732,-0.3497133,-0.090184,-0.0039334,-0.4080587,-0.0308316,0.0657573,-0.4012621,-0.0529309,0.0428623,-0.3815718,-0.0712687,0.0207033,-0.3706908,-0.07626,0.0118843
1598532540.06,-0.1995277,-0.0252374,0.4456701,-0.3809675,0.0472659,0.1388834,-0.3788509,0.0435807,0.134973,0.0,0.0,0.0,-0.2818986,-0.1158775,0.0468335,-0.280312,-0.1202765,0.0230211,0.0,0.0,0.0,-0.385151,0.0081138,0.1019331,0.0,0.0,0.0,-0.2928805,-0.1298596,0.0082957,-0.2815568,-0.1271298,-0.0072786,-0.4048813,0.0009391,0.0989107,-0.3966139,-0.0274727,0.0608342,0.0,0.0,0.0,-0.3074072,-0.1251004,-0.011729,-0.4069508,-0.0175263,0.0865347,-0.3986259,-0.0451686,0.0493496,-0.3723886,-0.0740408,0.0171337,-0.3476847,-0.0891366,-0.0061222,-0.4073758,-0.0283589,0.0712784,-0.4058022,-0.0455264,0.0473455,-0.3836558,-0.0676295,0.0216534,-0.3706908,-0.07626,0.0118843
1598532540.53,-0.1960718,-0.020228,0.4480897,0.0,0.0,0.0,-0.3735475,0.0385875,0.1331163,0.0,0.0,0.0,-0.2820754,-0.1151866,0.0447469,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.3776,-0.0055252,0.0951263,-0.3141925,-0.1184229,0.0281062,-0.2930537,-0.1291828,0.0062514,-0.2815568,-0.1271298,-0.0072786,-0.4075187,0.0013303,0.0966521,-0.3917043,-0.0357702,0.0560001,0.0,0.0,0.0,-0.309537,-0.1207449,-0.0128838,-0.4047451,-0.0163874,0.0841547,-0.3965473,-0.0487868,0.048336,-0.3705084,-0.0769729,0.0140378,-0.3451457,-0.0984349,-0.0059402,-0.4073758,-0.0283589,0.0712784,-0.4010743,-0.0536648,0.0450792,-0.3789668,-0.0758177,0.0195155,-0.3708661,-0.0802611,0.0110292
1598532541.02,-0.2022822,-0.0248288,0.4433112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2782515,-0.1177929,0.0415273,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.3800218,-0.0010202,0.0965199,0.0,0.0,0.0,-0.2930537,-0.1291828,0.0062514,-0.2815568,-0.1271298,-0.0072786,-0.4075187,0.0013303,0.0966521,-0.3891533,-0.0402944,0.054717,-0.3524082,-0.0795807,0.0168824,-0.3115031,-0.12176,-0.0107624,-0.4071781,-0.0208773,0.0806563,-0.393949,-0.0533095,0.0470691,-0.370326,-0.0776859,0.0161913,-0.3583408,-0.0745988,-0.0001428,-0.4080587,-0.0308316,0.0657573,-0.4015678,-0.0480421,0.0440366,-0.3815718,-0.0712687,0.0207033,-0.3688088,-0.079199,0.0088095
1598532541.5,-0.2011854,-0.0210308,0.4482571,-0.3786457,0.0427785,0.137396,-0.3788509,0.0435807,0.134973,0.0,0.0,0.0,-0.2798988,-0.1148449,0.0446756,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.3827299,0.0036117,0.1005307,0.0,0.0,0.0,-0.2928805,-0.1298596,0.0082957,-0.2815568,-0.1271298,-0.0072786,-0.4100331,0.0058238,0.0980399,-0.3891533,-0.0402944,0.054717,-0.3544188,-0.07593,0.0178302,-0.3134663,-0.1180849,-0.0098656,-0.4047866,-0.0205018,0.080578,-0.3942256,-0.0484222,0.04826,-0.3701348,-0.073687,0.01706,0.0,0.0,0.0,-0.4054641,-0.0353398,0.0644463,-0.4012621,-0.0529309,0.0428623,-0.3746364,-0.0791043,0.0184918,-0.3667516,-0.0781368,0.0065897
1598532541.98,-0.201393,-0.0202193,0.445806,-0.3839058,0.042787,0.1351385,-0.3764522,0.0341041,0.1293985,0.0,0.0,0.0,-0.279722,-0.1155357,0.0467622,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.385151,0.0081138,0.1019331,0.0,0.0,0.0,-0.2928805,-0.1298596,0.0082957,-0.2851297,-0.120445,-0.0033972,0.0,0.0,0.0,-0.3969982,-0.025971,0.0562983,0.0,0.0,0.0,-0.3116768,-0.1210808,-0.0128138,-0.4044213,-0.0261314,0.081586,-0.3967358,-0.0480499,0.0461103,-0.3705084,-0.0769729,0.0140378,0.0,0.0,0.0,-0.4076745,-0.0323333,0.0702932,-0.4037009,-0.0491434,0.0463382,0.0,0.0,0.0,-0.368627,-0.0799096,0.010956
1598532542.46,-0.1995277,-0.0252374,0.4456701,-0.3758596,0.0373937,0.135611,-0.373945,0.0344977,0.1293165,-0.2960011,-0.0906822,0.0731518,-0.2798988,-0.1148449,0.0446756,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.385151,0.0081138,0.1019331,0.0,0.0,0.0,-0.2928805,-0.1298596,0.0082957,-0.2815568,-0.1271298,-0.0072786,0.0,0.0,0.0,-0.3915136,-0.0365152,0.0582505,-0.3544188,-0.07593,0.0178302,-0.3093632,-0.121424,-0.0108324,-0.402039,-0.0257573,0.0815081,-0.40617,-0.0364915,0.0519603,-0.3723886,-0.0740408,0.0171337,0.0,0.0,0.0,-0.4055008,-0.031211,0.0679478,-0.408708,-0.036115,0.0497868,-0.3815718,-0.0712687,0.0207033,-0.3684444,-0.0759073,0.0118107
1598532542.94,-0.1995277,-0.0252374,0.4456701,-0.3837536,0.0526508,0.1406684,-0.3784309,0.0476641,0.1388004,0.0,0.0,0.0,-0.279722,-0.1155357,0.0467622,-0.280312,-0.1202765,0.0230211,0.0,0.0,0.0,-0.3827299,0.0036117,0.1005307,0.0,0.0,0.0,-0.2928805,-0.1298596,0.0082957,-0.2838545,-0.126789,-0.0092464,-0.4045014,-0.004062,0.0949867,-0.3944465,-0.0304981,0.055024,0.0,0.0,0.0,-0.3115031,-0.12176,-0.0107624,-0.4071781,-0.0208773,0.0806563,-0.3990759,-0.0395366,0.0482985,-0.368262,-0.0766203,0.0139643,-0.3449771,-0.0944227,-0.0051202,-0.4028695,-0.039848,0.0631353,-0.3989496,-0.0525678,0.0427866,-0.3768961,-0.0747485,0.0172812,-0.3598994,-0.0860128,0.0044605
1598532543.42,-0.1944325,-0.0244374,0.4455033,-0.3860407,0.0464694,0.1390494,0.0,0.0,0.0,0.0,0.0,0.0,-0.279722,-0.1155357,0.0467622,-0.280487,-0.1195927,0.0209556,0.0,0.0,0.0,-0.3875721,0.0126159,0.1033355,0.0,0.0,0.0,-0.2928805,-0.1298596,0.0082957,-0.2815568,-0.1271298,-0.0072786,-0.4098342,0.0050467,0.1003871,-0.3917043,-0.0357702,0.0560001,-0.3544188,-0.07593,0.0178302,-0.3093632,-0.121424,-0.0108324,-0.4047451,-0.0163874,0.0841547,-0.400955,-0.0455342,0.0494258,-0.3705084,-0.0769729,0.0140378,-0.3515508,-0.0825008,-0.0022223,-0.4056929,-0.0304602,0.0656799,-0.4037009,-0.0491434,0.0463382,-0.3813881,-0.0719869,0.0228726,-0.3705084,-0.0769729,0.0140378
1598532543.9,-0.1975386,-0.0302853,0.4425657,-0.3890558,0.0526594,0.1383928,-0.3814129,0.0538593,0.1381427,0.0,0.0,0.0,-0.2706076,-0.1337063,0.0413831,-0.2694221,-0.1415376,0.0149626,-0.2662178,-0.1442982,-0.0098264,-0.3804888,0.0047689,0.0981124,0.0,0.0,0.0,-0.2820913,-0.1502407,0.00074,-0.2726584,-0.1446193,-0.0116251,-0.4050794,0.0017133,0.0965723,-0.3891533,-0.0402944,0.054717,-0.3586831,-0.072633,0.0188517,-0.3038212,-0.1357908,-0.0163728,-0.4047451,-0.0163874,0.0841547,-0.3984368,-0.0459078,0.0515823,-0.3723886,-0.0740408,0.0171337,-0.3498925,-0.0894833,-0.0060499,-0.4075685,-0.0276057,0.0690034,-0.4010743,-0.0536648,0.0450792,-0.3836558,-0.0676295,0.0216534,-0.3706908,-0.07626,0.0118843
