TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598532819.17,-0.1950578,-0.008497,0.451656,0.0,0.0,0.0,-0.3760639,0.0381924,0.1331987,-0.3809618,0.057941,0.1419885,-0.3117554,-0.0549099,0.0866171,-0.2777222,-0.1145032,0.0446044,-0.2786428,-0.1232502,0.0199568,-0.2747268,-0.1227854,-0.0045984,-0.3826568,0.0133876,0.1031746,0.0,0.0,0.0,-0.2891946,-0.1318369,0.003186,-0.2840271,-0.1261145,-0.0112837,-0.3996449,-0.0032995,0.0948278,-0.3821334,-0.0433481,0.0510488,0.0,0.0,0.0,-0.3052572,-0.1200729,-0.0130238,-0.4022009,-0.0208854,0.0827924,-0.3895117,-0.0518494,0.0447008,-0.3660244,-0.0809793,0.0151756,0.0,0.0,0.0,-0.403135,-0.0308396,0.0678704,-0.3990575,-0.0484144,0.0461863,-0.3744593,-0.07511,0.019368,-0.3665698,-0.0788474,0.0087362
1598532819.67,-0.1896907,-0.0085057,0.4539594,0.0,0.0,0.0,-0.3761183,0.0431753,0.1373133,0.0,0.0,0.0,0.0,0.0,0.0,-0.2775454,-0.115194,0.046691,-0.2786428,-0.1232502,0.0199568,-0.2768594,-0.1231202,-0.0045286,-0.3751584,0.0088744,0.1039598,0.0,0.0,0.0,-0.2891946,-0.1318369,0.003186,-0.2836032,-0.122771,-0.008408,0.0,0.0,0.0,0.0,0.0,0.0,-0.2974919,-0.1291756,0.0043466,-0.2905751,-0.126441,-0.0131123,-0.4023444,-0.0160105,0.0840761,-0.3871948,-0.0384431,0.0501574,0.0,0.0,0.0,-0.3072233,-0.1210881,-0.0109024,-0.4031075,-0.0349698,0.0643692,-0.4037524,-0.0402708,0.0484515,-0.3684452,-0.0806202,0.0131024,0.0,0.0,0.0
1598532820.15,-0.1967935,-0.0042606,0.4572311,-0.3219804,0.0622262,0.2633246,-0.3788509,0.0435807,0.134973,-0.3788509,0.0435807,0.134973,0.0,0.0,0.0,-0.2798988,-0.1148449,0.0446756,-0.2788172,-0.1225688,0.0178983,-0.2745537,-0.1234622,-0.0025541,-0.3826568,0.0133876,0.1031746,0.0,0.0,0.0,-0.2891946,-0.1318369,0.003186,-0.2823171,-0.1291279,-0.0142151,-0.3946528,-0.0122922,0.0920534,-0.3844769,-0.0395602,0.054564,0.0,0.0,0.0,-0.3052572,-0.1200729,-0.0130238,-0.3998094,-0.0205099,0.0827141,-0.3986961,-0.0410208,0.0527816,-0.3701348,-0.073687,0.01706,-0.3432691,-0.0884434,-0.0062667,-0.4050027,-0.0279863,0.0712007,0.0,0.0,0.0,-0.3813856,-0.0672731,0.0215791,-0.3641489,-0.0792065,0.0108094
1598532820.63,-0.1896907,-0.0085057,0.4539594,0.0,0.0,0.0,-0.3735475,0.0385875,0.1331163,-0.3761183,0.0431753,0.1373133,-0.3074456,-0.0588927,0.0876124,-0.2777222,-0.1145032,0.0446044,-0.2788172,-0.1225688,0.0178983,-0.2750087,-0.1268033,-0.00545,-0.3756102,0.0055348,0.0979528,0.0,0.0,0.0,-0.2911472,-0.132845,0.0052929,-0.2840271,-0.1261145,-0.0112837,-0.3922429,-0.0119139,0.0919745,-0.3801068,-0.046972,0.0500299,0.0,0.0,0.0,-0.3073971,-0.1204089,-0.0129538,-0.4045501,-0.0171494,0.0864561,-0.3920924,-0.0473209,0.0459583,-0.3680641,-0.0726179,0.0148257,-0.3432691,-0.0884434,-0.0062667,-0.403135,-0.0308396,0.0678704,-0.3969244,-0.047313,0.0438846,-0.3723886,-0.0740408,0.0171337,-0.3577597,-0.0720049,0.0049826
1598532821.11,-0.1896907,-0.0085057,0.4539594,-0.3244287,0.0675004,0.2655753,-0.3760639,0.0381924,0.1331987,-0.3760639,0.0381924,0.1331987,-0.3140679,-0.0552729,0.0866928,-0.2798988,-0.1148449,0.0446756,-0.2788172,-0.1225688,0.0178983,-0.2745537,-0.1234622,-0.0025541,-0.3776069,0.00849,0.1040399,0.0,0.0,0.0,-0.2910943,-0.1281712,0.0041372,-0.2841996,-0.12544,-0.013321,-0.4024889,0.0062,0.1001468,0.0,0.0,0.0,0.0,0.0,0.0,-0.3052572,-0.1200729,-0.0130238,-0.4022738,-0.0118976,0.0876695,-0.3986961,-0.0410208,0.0527816,-0.3678811,-0.0733331,0.0169862,-0.3407584,-0.0930345,-0.0073719,-0.4026296,-0.0276137,0.0711231,-0.3990575,-0.0484144,0.0461863,-0.3791153,-0.0669166,0.0215048,-0.3641489,-0.0792065,0.0108094
1598532821.59,-0.1967935,-0.0042606,0.4572311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2775454,-0.115194,0.046691,-0.2786428,-0.1232502,0.0199568,-0.2745537,-0.1234622,-0.0025541,-0.3780495,0.0051518,0.0980326,0.0,0.0,0.0,-0.2913197,-0.1321705,0.0032556,-0.2840271,-0.1261145,-0.0112837,-0.3947298,-0.0074161,0.0933614,0.0,0.0,0.0,0.0,0.0,0.0,-0.3052572,-0.1200729,-0.0130238,-0.4023444,-0.0160105,0.0840761,-0.38726,-0.0562039,0.0459046,-0.3706247,-0.0680558,0.0159943,-0.3432691,-0.0884434,-0.0062667,-0.4007692,-0.0304681,0.067793,-0.3964493,-0.0529387,0.0449278,-0.377046,-0.0705581,0.0205551,-0.3641056,-0.0697643,0.0081965
1598532822.07,-0.1948484,-0.0093155,0.4541282,0.0,0.0,0.0,-0.3784309,0.0476641,0.1388004,-0.3762682,0.0389911,0.1307863,0.0,0.0,0.0,-0.2777222,-0.1145032,0.0446044,-0.2764956,-0.1229131,0.0198865,-0.2748361,-0.1274778,-0.0034127,-0.3827026,0.0084982,0.101853,-0.3139617,-0.1144445,0.0290513,-0.2891946,-0.1318369,0.003186,-0.2840271,-0.1261145,-0.0112837,-0.4024889,0.0062,0.1001468,-0.3754488,-0.0504049,0.0464636,0.0,0.0,0.0,-0.3073971,-0.1204089,-0.0129538,-0.4047451,-0.0163874,0.0841547,-0.3962969,-0.0448029,0.0492733,-0.3639671,-0.0799171,0.0129559,-0.3450978,-0.0854735,-0.0032589,-0.4050027,-0.0279863,0.0712007,-0.400955,-0.0455342,0.0494258,-0.377046,-0.0705581,0.0205551,-0.3639671,-0.0799171,0.0129559
1598532822.55,-0.1859764,-0.0321025,0.437225,0.0,0.0,0.0,-0.3805555,0.0456557,0.1437469,-0.3784405,0.0419764,0.1398189,-0.2777779,-0.1231346,0.0697148,-0.2403959,-0.1854995,0.0278703,-0.2398938,-0.1964418,0.004003,-0.235695,-0.2014109,-0.020149,-0.3922949,0.0201613,0.113547,0.0,0.0,0.0,-0.2684309,-0.1893671,-0.0069551,-0.2533414,-0.1952639,-0.0237825,-0.4142607,0.0116792,0.1102748,-0.3987876,-0.028595,0.0631796,-0.3628547,-0.0658626,0.0253376,-0.3336622,-0.0851406,0.0006258,-0.419715,-0.0005846,0.0970512,-0.4057888,-0.0379815,0.0564611,-0.374783,-0.0702028,0.0204811,-0.3517433,-0.0865168,-0.0030415,-0.4171325,-0.0208612,0.0763841,-0.4130217,-0.0383422,0.0544412,-0.3855574,-0.069427,0.0260805,-0.3706908,-0.07626,0.0118843
1598532823.03,-0.284292,0.2416194,0.5929868,-0.5150643,0.4109032,0.3968027,-0.349723,0.0201832,0.1129055,-0.3364761,0.0009315,0.0937805,-0.3082889,0.0028584,0.0845938,-0.1873729,-0.1993609,0.0037167,-0.1439693,-0.2386043,-0.0345246,-0.1129235,-0.2598762,-0.0526438,-0.3004741,-0.044477,0.033054,-0.2873917,-0.0639232,0.0113178,-0.2648484,-0.0883718,-0.0135923,-0.242799,-0.1032024,-0.0356385,-0.3093085,-0.0695891,0.0185134,-0.2872009,-0.0951533,-0.0157645,-0.2593335,-0.1103107,-0.0468218,-0.2300403,-0.1321041,-0.0672742,-0.3186589,-0.0695739,0.0145005,-0.2990729,-0.0981458,-0.0245215,-0.2673285,-0.1255791,-0.0554824,-0.2477126,-0.1412688,-0.0698444,-0.3179761,-0.0834091,0.0022419,-0.3031441,-0.0947822,-0.0236123,-0.2842414,-0.1116072,-0.0411872,-0.2673285,-0.1255791,-0.0554824
1598532823.51,0.0,0.0,0.0,-0.282037,0.0979176,0.1763481,-0.2059136,-0.1126015,-0.0547721,-0.1928122,-0.1262592,-0.0684925,-0.1038297,-0.2629938,-0.1018652,-0.0628069,-0.291348,-0.1262062,-0.0328718,-0.2989387,-0.1442319,-0.0130484,-0.2941563,-0.1497434,-0.08606,-0.2888086,-0.1590106,-0.1094972,-0.2248121,-0.1781576,-0.0981365,-0.2517789,-0.2066971,-0.0877416,-0.2627876,-0.226172,-0.1356431,-0.2049498,-0.156962,-0.1230219,-0.2333205,-0.1870943,-0.0992887,-0.2574847,-0.2154351,-0.0796135,-0.2692596,-0.2349554,-0.1430325,-0.2104697,-0.1626729,-0.1302884,-0.238491,-0.1906624,-0.1096812,-0.2591164,-0.215095,-0.0913984,-0.2758417,-0.2363308,-0.1463186,-0.2165847,-0.1649089,-0.1322207,-0.2382044,-0.1923172,-0.116584,-0.2560947,-0.211284,-0.0962187,-0.2599827,-0.2223978
