TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598532956.39,-0.1889289,-0.0054231,0.4794944,-0.273074,0.0917211,0.2758956,-0.3407343,0.0487308,0.1361553,-0.3314206,0.0361689,0.1238527,0.0,0.0,0.0,-0.2572502,-0.1034435,0.0459527,-0.2711598,-0.1102343,0.0225273,-0.2797628,-0.108395,0.0010878,-0.3555709,0.0119497,0.1033188,0.0,0.0,0.0,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3703356,0.0047524,0.1024699,-0.3816567,-0.022754,0.0658741,-0.35197,-0.0673681,0.0219099,-0.3340219,-0.0837345,-0.0036214,-0.3804888,0.0047689,0.0981124,-0.3868026,-0.0316319,0.0615702,-0.3699345,-0.0620222,0.0266894,-0.3601885,-0.0716447,0.0029026,-0.3828444,0.0001399,0.0919437,-0.3871854,-0.030136,0.0570519,-0.374067,-0.0594644,0.029919,-0.3677639,-0.0651344,0.0211334
1598532956.88,-0.1887178,-0.006248,0.481986,-0.2707181,0.0863741,0.2707101,-0.3407343,0.0487308,0.1361553,-0.334033,0.0415918,0.1256001,-0.2667418,-0.0807042,0.068948,-0.258807,-0.100491,0.0491263,-0.2693597,-0.1138987,0.0215299,-0.2757729,-0.1117398,8.94e-05,-0.3653251,0.020991,0.1039307,-0.3563955,-0.0211582,0.0595181,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3753573,0.0096515,0.1016126,-0.3816567,-0.022754,0.0658741,-0.358245,-0.0562254,0.0272029,-0.3318068,-0.0833867,-0.0036939,-0.3806868,0.005543,0.095774,-0.3868026,-0.0316319,0.0615702,-0.3678401,-0.0609409,0.0244296,-0.35592,-0.0749579,0.0019304,-0.3834203,-0.002446,0.0836895,-0.3819443,-0.0440873,0.0532815,-0.374067,-0.0594644,0.029919,-0.3680641,-0.0726179,0.0148257
1598532957.37,-0.1889289,-0.0054231,0.4794944,-0.2701395,0.0987173,0.2754169,0.0,0.0,0.0,-0.3316233,0.0369611,0.1214597,0.0,0.0,0.0,-0.2594415,-0.1037875,0.0460244,-0.2693597,-0.1138987,0.0215299,-0.2776009,-0.1080556,0.0010171,-0.3583373,0.0074415,0.0997324,0.0,0.0,0.0,-0.2921346,-0.117865,0.0109808,-0.2852039,-0.1150653,-0.0066622,-0.3799256,0.0178843,0.1067798,-0.3841411,-0.0182285,0.0671815,-0.3517863,-0.0680863,0.0240793,-0.3359932,-0.0800582,-0.0027314,-0.3853498,0.0088909,0.0995859,-0.3962462,-0.0193425,0.0652875,-0.3632847,-0.0691445,0.0222802,-0.3515508,-0.0825008,-0.0022223,-0.3830274,-0.0039815,0.0883275,-0.3941005,-0.0223574,0.0594374,-0.374067,-0.0594644,0.029919,-0.3680641,-0.0726179,0.0148257
1598532957.85,-0.1913169,-0.0066561,0.4820711,-0.2752781,0.0970264,0.2781595,-0.3429183,0.0532398,0.1376383,-0.334033,0.0415918,0.1256001,0.0,0.0,0.0,-0.2576989,-0.1074367,0.0449582,-0.2711598,-0.1102343,0.0225273,-0.2744304,-0.1187651,-0.0037473,0.0,0.0,0.0,0.0,0.0,0.0,-0.2961803,-0.1145412,0.0120164,-0.2850296,-0.1157467,-0.0046038,-0.3750844,0.0137652,0.1052894,-0.3865234,-0.0186025,0.0672594,-0.3564428,-0.0591514,0.0240566,-0.3359932,-0.0800582,-0.0027314,-0.380453,0.0096597,0.0994256,-0.3937151,-0.0238638,0.0639874,-0.3701196,-0.0612987,0.0245042,-0.35592,-0.0749579,0.0019304,-0.380219,-0.0002495,0.0941921,-0.3848288,-0.029766,0.0569747,-0.374067,-0.0594644,0.029919,-0.3702185,-0.0647703,0.0190312
1598532958.33,-0.1873415,-0.0096165,0.4768391,0.0,0.0,0.0,-0.3383178,0.0441187,0.1319635,-0.3317294,0.0427812,0.1231145,0.0,0.0,0.0,-0.2578762,-0.1067436,0.0428646,-0.2673734,-0.1128731,0.0193867,-0.2797628,-0.108395,0.0010878,-0.3605382,0.0168604,0.1024508,-0.3540015,-0.025704,0.0582313,-0.2960048,-0.1152273,0.0140889,-0.2850296,-0.1157467,-0.0046038,-0.3750844,0.0137652,0.1052894,-0.3841411,-0.0182285,0.0671815,-0.3515033,-0.0640804,0.0249661,-0.3379644,-0.0763818,-0.0018414,-0.3780495,0.0051518,0.0980326,-0.3893245,-0.0271092,0.0628699,-0.3653638,-0.070218,0.0245236,-0.3599642,-0.067626,0.0037279,-0.3781893,-0.0032219,0.0881692,-0.386994,-0.030884,0.059311,-0.3738813,-0.0601902,0.0321113,-0.3659151,-0.0680634,0.0180155
1598532958.82,-0.1871311,-0.0104385,0.4793219,0.0,0.0,0.0,-0.3359295,0.0388109,0.1328928,-0.3314206,0.0361689,0.1238527,0.0,0.0,0.0,-0.2592636,-0.104483,0.0481251,-0.2689905,-0.1098937,0.0224564,-0.2762663,-0.1150797,-0.0028265,-0.3628583,0.0213783,0.1038499,0.0,0.0,0.0,-0.2921346,-0.117865,0.0109808,-0.2852039,-0.1150653,-0.0066622,-0.3774588,0.0182716,0.1066991,-0.3796692,-0.0263743,0.0648282,-0.3564428,-0.0591514,0.0240566,-0.3359932,-0.0800582,-0.0027314,-0.3853498,0.0088909,0.0995859,-0.391342,-0.0234912,0.0639097,-0.3699345,-0.0620222,0.0266894,-0.35592,-0.0749579,0.0019304,-0.3857634,0.0055512,0.0935953,-0.3844714,-0.0354095,0.05802,-0.374067,-0.0594644,0.029919,-0.3704029,-0.0640498,0.0168548
1598532959.29,-0.1887178,-0.006248,0.481986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.258807,-0.100491,0.0491263,-0.2693597,-0.1138987,0.0215299,-0.2777765,-0.1073694,-0.0010555,-0.3631954,0.0172545,0.1001752,-0.3514169,-0.0309948,0.0591949,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3777416,0.0141593,0.1030138,-0.3816567,-0.022754,0.0658741,-0.3537736,-0.0644368,0.0250404,-0.3359932,-0.0800582,-0.0027314,-0.3804888,0.0047689,0.0981124,-0.3938639,-0.0189685,0.0652095,-0.3699345,-0.0620222,0.0266894,-0.3533924,-0.0795402,0.000807,-0.3830416,0.0009106,0.0896159,-0.3848288,-0.029766,0.0569747,-0.3720288,-0.0631035,0.0289492,-0.3681326,-0.0636933,0.0167805
1598532959.77,-0.1889289,-0.0054231,0.4794944,-0.269922,0.0978673,0.2779842,-0.3381135,0.0433201,0.1343758,-0.334033,0.0415918,0.1256001,0.0,0.0,0.0,-0.2570723,-0.1041389,0.0480534,-0.2693597,-0.1138987,0.0215299,-0.2757729,-0.1117398,8.94e-05,-0.3585354,0.0082156,0.097394,-0.3514169,-0.0309948,0.0591949,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3753573,0.0096515,0.1016126,-0.3796692,-0.0263743,0.0648282,-0.358245,-0.0562254,0.0272029,-0.3359932,-0.0800582,-0.0027314,-0.3829014,0.0092753,0.0995057,-0.3962462,-0.0193425,0.0652875,-0.3699345,-0.0620222,0.0266894,-0.3513703,-0.0832062,-9.17e-05,-0.3806083,-0.0036017,0.0882484,-0.3920745,-0.025979,0.0584114,-0.374067,-0.0594644,0.029919,-0.3706247,-0.0680558,0.0159943
1598532960.25,-0.1871311,-0.0104385,0.4793219,-0.269922,0.0978673,0.2779842,-0.3455392,0.0586506,0.1394178,-0.3388226,0.0515341,0.1288038,0.0,0.0,0.0,-0.2570723,-0.1041389,0.0480534,-0.2693597,-0.1138987,0.0215299,-0.2799384,-0.1077089,-0.0009847,-0.3631954,0.0172545,0.1001752,0.0,0.0,0.0,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3875531,0.0323002,0.1112919,-0.3839477,-0.0189846,0.0694653,-0.3562577,-0.0598749,0.0262418,-0.3340219,-0.0837345,-0.0036214,-0.3804888,0.0047689,0.0981124,-0.3937151,-0.0238638,0.0639874,-0.367655,-0.0616643,0.0266148,-0.3535735,-0.0788325,-0.0013306,-0.3828444,0.0001399,0.0919437,-0.389542,-0.030506,0.057129,-0.374067,-0.0594644,0.029919,-0.3706247,-0.0680558,0.0159943
1598532960.73,-0.1873415,-0.0096165,0.4768391,-0.2685132,0.0810653,0.2684568,-0.3529648,0.0739812,0.1444598,-0.3270664,0.0271305,0.1209402,0.0,0.0,0.0,-0.258807,-0.100491,0.0491263,-0.2671978,-0.1135593,0.0214592,-0.2776009,-0.1080556,0.0010171,-0.3558981,0.0078244,0.0996526,-0.3605114,-0.013732,0.0641181,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3777416,0.0141593,0.1030138,-0.3816567,-0.022754,0.0658741,-0.35197,-0.0673681,0.0219099,-0.3340219,-0.0837345,-0.0036214,-0.3829014,0.0092753,0.0995057,-0.3916903,-0.0274807,0.0629474,-0.3699345,-0.0620222,0.0266894,-0.3579421,-0.071292,0.0028291,-0.3857634,0.0055512,0.0935953,-0.384662,-0.0346645,0.0557697,-0.3743083,-0.0634614,0.0290238,-0.3726732,-0.0644062,0.0169291
