TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598533055.62,-0.1795846,-0.0060676,0.4511496,0.0,0.0,0.0,0.0,0.0,0.0,-0.2751704,-0.1101798,0.04553,-0.27667,-0.1222316,0.0178281,-0.2775655,-0.1304794,-0.008263,-0.3755597,0.0012837,0.0917053,0.0,0.0,0.0,-0.2994137,-0.1255133,0.0052985,-0.2859797,-0.1271227,-0.0091768,-0.3875504,-0.0152729,0.0882076,-0.3779491,-0.0500341,0.0443224,-0.3506193,-0.0813133,0.0071471,-0.3315932,-0.1079682,-0.0221551,-0.3950855,-0.0238791,0.0789904,-0.3876343,-0.0547406,0.0414849,-0.3684583,-0.0841141,0.0077309,-0.3527758,-0.1087258,-0.0165082,-0.3960376,-0.0297253,0.0676381,-0.3899395,-0.0551026,0.0415603,-0.3791498,-0.0751024,0.017355,-0.3778601,-0.088099,0.0029117
1598533056.12,-0.1767964,-0.0064812,0.4535374,-0.3737961,0.0443743,0.1348076,-0.3666269,0.0364744,0.1266668,-0.273369,-0.1138197,0.0444619,-0.2788172,-0.1225688,0.0178983,-0.2771338,-0.127137,-0.0053804,-0.3758083,0.006309,0.0956144,-0.3613611,-0.0393178,0.0481301,-0.2974919,-0.1291756,0.0043466,-0.2861522,-0.1264482,-0.0112141,-0.3877453,-0.0145109,0.0859062,-0.3781369,-0.0493001,0.0421055,-0.3506193,-0.0813133,0.0071471,-0.3315932,-0.1079682,-0.0221551,-0.3927032,-0.0235051,0.0789124,-0.3876343,-0.0547406,0.0414849,-0.3643148,-0.0914158,0.0058878,-0.3548522,-0.1050563,-0.015643,-0.3978833,-0.0268685,0.0709678,-0.3899395,-0.0551026,0.0415603,-0.3774014,-0.0820264,0.0133955,-0.3757504,-0.0917487,0.0020031
1598533056.59,-0.1767964,-0.0064812,0.4535374,0.0,0.0,0.0,0.0,0.0,0.0,-0.273369,-0.1138197,0.0444619,-0.2748326,-0.1258925,0.0168365,-0.2775655,-0.1304794,-0.008263,-0.3753625,0.000513,0.0940332,-0.3546361,-0.0471372,0.0457825,-0.2994137,-0.1255133,0.0052985,-0.2858071,-0.1277971,-0.0071395,-0.3900288,-0.0107707,0.0895854,-0.3737594,-0.0567411,0.0376594,-0.3506193,-0.0813133,0.0071471,-0.3294313,-0.1076287,-0.0222259,-0.3927516,-0.0276297,0.0753625,-0.3829433,-0.0581831,0.0379599,-0.3688088,-0.079199,0.0088095,-0.3526756,-0.1047146,-0.0157142,-0.3985955,-0.0293458,0.0654476,-0.3875353,-0.058904,0.0381102,-0.3770652,-0.078744,0.0164118,-0.3667028,-0.1032663,-0.0010217
1598533057.08,-0.175137,-0.0107331,0.4479754,0.0,0.0,0.0,-0.3685147,0.0393777,0.1329516,-0.2729865,-0.1098369,0.0454585,-0.27667,-0.1222316,0.0178281,-0.2771338,-0.127137,-0.0053804,-0.3729343,0.0008942,0.0939537,-0.3502401,-0.0553224,0.0435112,-0.2972738,-0.1251774,0.0052285,-0.2859797,-0.1271227,-0.0091768,-0.3925072,-0.0062685,0.0909632,-0.3782265,-0.0540246,0.043393,-0.3531355,-0.0767382,0.0082966,-0.3315932,-0.1079682,-0.0221551,-0.397543,-0.0152567,0.083919,-0.3895117,-0.0518494,0.0447008,-0.3682772,-0.0848218,0.0098685,-0.3507827,-0.1076967,-0.0186587,-0.3951247,-0.0280023,0.0754401,-0.3895117,-0.0518494,0.0447008,-0.3746364,-0.0791043,0.0184918,-0.3710037,-0.0999606,-4.14e-05
1598533057.57,-0.1770058,-0.0056627,0.4510652,-0.365794,0.0389741,0.1352817,-0.3664233,0.0356787,0.1290703,-0.2773544,-0.1105227,0.0456015,-0.27667,-0.1222316,0.0178281,-0.2754477,-0.1301468,-0.0083323,-0.3729583,-0.0039978,0.0926489,-0.3570783,-0.0425899,0.0470444,-0.2953593,-0.1288408,0.0042768,-0.2863248,-0.1257737,-0.0132514,-0.3875504,-0.0152729,0.0882076,-0.3735729,-0.0574698,0.0398604,-0.3506193,-0.0813133,0.0071471,-0.3294313,-0.1076287,-0.0222259,-0.3901858,-0.0280103,0.0775598,-0.3853292,-0.0543787,0.0414095,-0.3710479,-0.0795505,0.0088828,-0.3548522,-0.1050563,-0.015643,-0.3911331,-0.0338678,0.0662427,-0.3899395,-0.0551026,0.0415603,-0.3770652,-0.078744,0.0164118,-0.3756376,-0.08775,0.002839
1598533058.05,-0.1621512,-0.0533172,0.4251983,-0.3687413,0.0451679,0.1346422,-0.3691517,0.0467722,0.1297964,0.0,0.0,0.0,-0.316174,-0.043521,0.0391464,-0.3039755,-0.0786999,0.0069034,-0.3727371,0.0001236,0.0962815,0.0,0.0,0.0,-0.3335254,-0.0605083,0.0221953,-0.3128927,-0.0746539,0.0037689,-0.3873554,-0.0160348,0.090509,-0.3735729,-0.0574698,0.0398604,-0.3506193,-0.0813133,0.0071471,-0.3294313,-0.1076287,-0.0222259,-0.3950263,-0.0197589,0.0825576,-0.3855164,-0.0536471,0.0391996,-0.3708661,-0.0802611,0.0110292,-0.3527758,-0.1087258,-0.0165082,-0.3936718,-0.0293538,0.0675607,-0.3901267,-0.0543709,0.0393505,-0.3748188,-0.0783913,0.0163383,-0.3778601,-0.088099,0.0029117
1598533058.53,-0.2742742,0.2594594,0.5981254,-0.2626146,-0.0056307,0.0665411,-0.2667192,-0.0184718,0.0586798,-0.211117,-0.0296896,0.0279226,-0.1765941,-0.0712481,-0.0135625,-0.148645,-0.0884198,-0.0387197,-0.2468437,-0.0426964,0.0226612,-0.2197264,-0.0845595,-0.0179726,-0.1901444,-0.1081888,-0.0484963,-0.1697258,-0.124,-0.0652716,-0.2537361,-0.0733231,0.0001396,-0.2160877,-0.1155875,-0.0503956,-0.1887183,-0.1353719,-0.0744068,-0.1683464,-0.1463804,-0.0896473,-0.2578499,-0.0832822,-0.0130099,-0.2302368,-0.1234678,-0.0552106,-0.2048768,-0.1422985,-0.0828517,-0.1861199,-0.1542906,-0.0959134,-0.2543472,-0.0991292,-0.0275373,-0.2358918,-0.1206434,-0.0565111,-0.2206505,-0.1329783,-0.070067,-0.2104753,-0.139798,-0.0800772
1598533059.01,-0.2683832,0.2943634,0.5549315,-0.1023963,-0.1569331,-0.1148405,-0.1014279,-0.1650599,-0.1218446,-0.0445584,-0.1956212,-0.1641121,-0.0230565,-0.2216551,-0.1941715,-0.0037421,-0.2436271,-0.2152317,-0.0806656,-0.1988023,-0.1608511,-0.0640177,-0.2386196,-0.2056701,-0.0456253,-0.2593391,-0.2276608,-0.0330712,-0.2750648,-0.2449154,-0.1003649,-0.2087609,-0.1681855,-0.0825573,-0.2487562,-0.2088862,-0.0625965,-0.2718764,-0.2356525,-0.0433708,-0.2903921,-0.2574908,-0.1120494,-0.2187116,-0.1721413,-0.102371,-0.2550128,-0.2084013,-0.0885105,-0.2743875,-0.2331239,-0.0702304,-0.2882391,-0.2534051,-0.1166889,-0.2213483,-0.1757569,-0.1096388,-0.2510193,-0.2044674,-0.1019965,-0.2681896,-0.2258161,-0.0904121,-0.2824979,-0.2413937
1598533059.98,-0.0497274,-0.1088223,0.2988836,0.1804082,-0.1898116,-0.150807,0.1818712,-0.1883825,-0.1543475,0.2484821,-0.2360927,-0.1767314,0.2683359,-0.2522106,-0.1990692,0.2673212,-0.2605218,-0.2125941,0.2376831,-0.2366627,-0.1796551,0.2535223,-0.2538837,-0.2067011,0.2578346,-0.2660622,-0.2284593,0.2678851,-0.2559665,-0.2442672,0.216507,-0.219091,-0.1838678,0.2300861,-0.2458608,-0.2182551,0.2438235,-0.2571355,-0.2386443,0.2574589,-0.2506822,-0.2516484,0.1961962,-0.1793368,-0.1901473,0.2108969,-0.2093559,-0.2239208,0.2241115,-0.2253043,-0.2433545,0.2404678,-0.2389967,-0.2555923,0.1838699,-0.1922961,-0.2011544,0.1936481,-0.2146453,-0.2251638,0.2039403,-0.2248685,-0.2376455,0.2122706,-0.2313392,-0.2463472
1598533060.47,-0.0493572,-0.1102692,0.303254,0.1769349,-0.1960844,-0.1495551,0.1768253,-0.1973937,-0.1551128,0.243797,-0.1571611,-0.1723571,0.263402,-0.1713088,-0.1943218,0.2677365,-0.1857238,-0.2095581,0.2281367,-0.1602286,-0.1700718,0.2418336,-0.1791622,-0.1992561,0.245633,-0.2013245,-0.2232395,0.2580457,-0.2205344,-0.2428405,0.2048409,-0.178452,-0.1797305,0.2164026,-0.1916935,-0.207748,0.2330914,-0.2167071,-0.2334976,0.2456204,-0.2339797,-0.2524742,0.187391,-0.1844326,-0.1883699,0.1988587,-0.2092419,-0.2200385,0.2139965,-0.2227287,-0.2396079,0.231996,-0.2376565,-0.2568746,0.1727461,-0.1915031,-0.1988611,0.1848168,-0.210873,-0.2212493,0.1936637,-0.2223335,-0.2338495,0.2022807,-0.2292897,-0.2410156
