TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598347006.41,-0.2195899,-0.0174568,0.4673332,0.0,0.0,0.0,-0.3837006,0.0419849,0.1375614,-0.3785803,0.0377973,0.133281,0.0,0.0,0.0,-0.2855591,-0.1086115,0.0489856,-0.2826416,-0.119931,0.0210261,-0.2830837,-0.1248015,-0.0022749,-0.3851145,0.0130018,0.1032551,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2858071,-0.1277971,-0.0071395,-0.4073858,0.0054311,0.100307,-0.3868151,-0.0399273,0.0546405,-0.3588661,-0.0719177,0.0166912,-0.320431,-0.1170518,-0.0158301,-0.4070936,-0.0126544,0.0878272,-0.3986961,-0.0410208,0.0527816,-0.3772297,-0.0698399,0.0183858,-0.3500222,-0.1017445,-0.010805,-0.4073758,-0.0283589,0.0712784,-0.4034732,-0.0451607,0.0472693,-0.3836558,-0.0676295,0.0216534,-0.3641796,-0.0827062,0.0054472
1598347006.44,-0.2195899,-0.0174568,0.4673332,0.0,0.0,0.0,-0.3784405,0.0419764,0.1398189,-0.3758596,0.0373937,0.135611,0.0,0.0,0.0,-0.2853812,-0.109307,0.0510863,-0.2826416,-0.119931,0.0210261,-0.2788187,-0.1241319,-0.0024145,-0.385151,0.0081138,0.1019331,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2859797,-0.1271227,-0.0091768,0.0,0.0,0.0,-0.3867915,-0.0440794,0.0512012,-0.3636522,-0.0677081,0.0179415,0.0,0.0,0.0,-0.4043982,-0.0220199,0.0851633,-0.4010344,-0.0413879,0.0528581,-0.3772297,-0.0698399,0.0183858,-0.3563274,-0.094753,-0.0089759,-0.4055008,-0.031211,0.0679478,-0.4032841,-0.0458999,0.049502,-0.3857418,-0.0687065,0.0239041,-0.3750012,-0.0776783,0.0141848
1598347006.48,-0.2212201,-0.0140806,0.4754581,-0.3286243,0.062497,0.278364,-0.3784405,0.0419764,0.1398189,-0.3758596,0.0373937,0.135611,0.0,0.0,0.0,-0.2815449,-0.1119016,0.047838,-0.2826416,-0.119931,0.0210261,-0.2809512,-0.1244667,-0.0023447,-0.3873725,0.0118359,0.1056915,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2859797,-0.1271227,-0.0091768,-0.4073858,0.0054311,0.100307,-0.3917043,-0.0357702,0.0560001,-0.3611198,-0.0722716,0.0167649,0.0,0.0,0.0,-0.4045501,-0.0171494,0.0864561,-0.4010344,-0.0413879,0.0528581,-0.3748188,-0.0783913,0.0163383,-0.3539502,-0.0951056,-0.0069402,-0.4050016,-0.0238631,0.0747346,-0.400955,-0.0455342,0.0494258,-0.3860758,-0.0638039,0.0250264,-0.3725724,-0.0780386,0.0162648
1598347006.51,-0.2186303,-0.013674,0.4753734,-0.3286243,0.062497,0.278364,-0.3837006,0.0419849,0.1375614,-0.3731388,0.0369902,0.1379411,0.0,0.0,0.0,-0.2833678,-0.1082675,0.0489139,-0.2843175,-0.1169609,0.0240977,-0.2811244,-0.1237899,-0.0043891,-0.3849522,0.0073367,0.1042803,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2861522,-0.1264482,-0.0112141,-0.4020732,-0.0036807,0.0949073,-0.3798861,-0.051865,0.0488319,-0.3588661,-0.0719177,0.0166912,-0.320431,-0.1170518,-0.0158301,-0.4095464,-0.0171413,0.0843118,-0.4012243,-0.0406458,0.0506165,-0.3768961,-0.0747485,0.0172812,-0.3518975,-0.0987716,-0.0078257,-0.4055008,-0.031211,0.0679478,-0.4060906,-0.0406379,0.048528,-0.3859261,-0.0679859,0.0217277,-0.3751836,-0.0769654,0.0120313
1598347006.54,-0.2212201,-0.0140806,0.4754581,-0.3261584,0.0572437,0.2760598,-0.388642,0.0510422,0.1432774,-0.3813784,0.0431838,0.1350558,0.0,0.0,0.0,-0.2815449,-0.1119016,0.047838,-0.2843175,-0.1169609,0.0240977,-0.2828161,-0.1207881,-0.0014158,-0.3827299,0.0036117,0.1005307,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2876951,-0.1241175,-0.0062241,-0.4020732,-0.0036807,0.0949073,-0.3891533,-0.0402944,0.054717,-0.3568476,-0.0755697,0.0157502,-0.320431,-0.1170518,-0.0158301,-0.4070936,-0.0126544,0.0878272,-0.403632,-0.0368679,0.0541339,-0.3793089,-0.0709134,0.0206292,-0.3539502,-0.0951056,-0.0069402,-0.4071905,-0.0249932,0.0770964,-0.4057109,-0.0421221,0.0530111,-0.3930595,-0.0559815,0.0272552,-0.3750012,-0.0776783,0.0141848
1598347006.58,-0.2212201,-0.0140806,0.4754581,-0.3286243,0.062497,0.278364,-0.3835468,0.0518422,0.1431107,-0.3760639,0.0381924,0.1331987,0.0,0.0,0.0,-0.2815449,-0.1119016,0.047838,-0.2843175,-0.1169609,0.0240977,-0.2809512,-0.1244667,-0.0023447,-0.3875721,0.0126159,0.1033355,0.0,0.0,0.0,-0.2951862,-0.1295176,0.0063211,-0.2836819,-0.1274635,-0.0072091,-0.4020732,-0.0036807,0.0949073,-0.3847502,-0.047701,0.0501818,-0.3568476,-0.0755697,0.0157502,-0.3245728,-0.1137114,-0.0148832,-0.4045924,-0.0212609,0.0828707,-0.3937612,-0.0540435,0.049286,-0.370326,-0.0776859,0.0161913,-0.3518975,-0.0987716,-0.0078257,-0.4050027,-0.0279863,0.0712007,-0.4013792,-0.0487789,0.0462623,-0.3787838,-0.076533,0.0216761,-0.3708732,-0.075547,0.0097307
1598347006.61,-0.2186303,-0.013674,0.4753734,-0.3310901,0.0677501,0.2806681,-0.3860407,0.0464694,0.1390494,-0.3837101,0.0476727,0.1365347,0.0,0.0,0.0,-0.2815449,-0.1119016,0.047838,-0.2824666,-0.1206148,0.0230916,-0.2809512,-0.1244667,-0.0023447,-0.3897929,0.0163351,0.1071027,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2876951,-0.1241175,-0.0062241,-0.4045014,-0.004062,0.0949867,-0.387005,-0.0391852,0.052399,-0.3568476,-0.0755697,0.0157502,-0.3224182,-0.1133731,-0.0149537,-0.4069839,-0.0216363,0.0829489,-0.3965473,-0.0487868,0.048336,-0.3772297,-0.0698399,0.0183858,-0.3539502,-0.0951056,-0.0069402,-0.4078666,-0.0315825,0.0680252,-0.4013792,-0.0487789,0.0462623,-0.3859261,-0.0679859,0.0217277,-0.3729372,-0.0766127,0.0119578
1598347006.64,-0.2212201,-0.0140806,0.4754581,-0.3310901,0.0677501,0.2806681,-0.3807615,0.0464608,0.1413152,-0.3788509,0.0435807,0.134973,0.0,0.0,0.0,-0.2833678,-0.1082675,0.0489139,-0.2843175,-0.1169609,0.0240977,-0.2825336,-0.1167726,-0.0005572,-0.3897929,0.0163351,0.1071027,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2900008,-0.1237755,-0.0081986,-0.4045014,-0.004062,0.0949867,-0.3918949,-0.0350252,0.0537498,-0.3568476,-0.0755697,0.0157502,0.0,0.0,0.0,-0.4071781,-0.0208773,0.0806563,-0.3941367,-0.0525756,0.0448522,-0.3684452,-0.0806202,0.0131024,-0.3520755,-0.0980761,-0.0099264,-0.4030601,-0.039103,0.060885,-0.396855,-0.0561883,0.0417867,-0.3791498,-0.0751024,0.017355,-0.3583653,-0.0922713,-0.0015278
1598347006.68,-0.2212201,-0.0140806,0.4754581,-0.3286243,0.062497,0.278364,-0.3860407,0.0464694,0.1390494,-0.3860852,0.0621112,0.1463184,0.0,0.0,0.0,-0.2833678,-0.1082675,0.0489139,-0.2843175,-0.1169609,0.0240977,-0.2809512,-0.1244667,-0.0023447,-0.3873261,0.0167224,0.107022,0.0,0.0,0.0,-0.2951862,-0.1295176,0.0063211,-0.2878683,-0.1234407,-0.0082684,-0.4049374,0.0058156,0.1002269,-0.3918986,-0.030876,0.0572061,-0.3613892,-0.0673528,0.0178674,-0.3224182,-0.1133731,-0.0149537,-0.4070936,-0.0126544,0.0878272,-0.3989371,-0.0361308,0.0539802,-0.3636522,-0.0677081,0.0179415,-0.3224182,-0.1133731,-0.0149537,-0.4101532,-0.0230989,0.0703229,-0.4060906,-0.0406379,0.048528,-0.3836558,-0.0676295,0.0216534,-0.3563367,-0.0912239,-0.0037166
1598347006.71,-0.217011,-0.0170519,0.4672488,-0.3286243,0.062497,0.278364,-0.3860407,0.0464694,0.1390494,-0.3787847,0.038596,0.1308687,0.0,0.0,0.0,-0.2831899,-0.1089629,0.0510146,-0.2843175,-0.1169609,0.0240977,-0.2790865,-0.1281451,-0.0032736,-0.3875721,0.0126159,0.1033355,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2859797,-0.1271227,-0.0091768,-0.4048813,0.0009391,0.0989107,-0.3847502,-0.047701,0.0501818,-0.3613892,-0.0673528,0.0178674,-0.320431,-0.1170518,-0.0158301,-0.409637,-0.0081594,0.0891983,-0.4059794,-0.0372365,0.0542107,-0.3768961,-0.0747485,0.0172812,-0.356516,-0.0905232,-0.0058332,-0.4073839,-0.0242371,0.0748125,-0.4083268,-0.037605,0.0542875,-0.3808545,-0.0776021,0.0239104,-0.3770791,-0.0740332,0.0151207
1598347006.74,-0.2195899,-0.0174568,0.4673332,-0.3286243,0.062497,0.278364,-0.3858347,0.0456643,0.1414812,-0.3786457,0.0427785,0.137396,0.0,0.0,0.0,-0.2833678,-0.1082675,0.0489139,-0.2843175,-0.1169609,0.0240977,-0.2809512,-0.1244667,-0.0023447,-0.3827299,0.0036117,0.1005307,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2858071,-0.1277971,-0.0071395,-0.4098342,0.0050467,0.1003871,-0.3918949,-0.0350252,0.0537498,-0.35703,-0.0748568,0.0135967,-0.3224182,-0.1133731,-0.0149537,-0.4071457,-0.0167644,0.0842333,-0.398815,-0.0444294,0.0471168,-0.3750012,-0.0776783,0.0141848,-0.3541287,-0.0944078,-0.0090479,-0.4075685,-0.0276057,0.0690034,-0.4013792,-0.0487789,0.0462623,-0.3812205,-0.0761715,0.0195893,-0.3750083,-0.0729641,0.0128864
1598347006.78,-0.2212201,-0.0140806,0.4754581,-0.3261584,0.0572437,0.2760598,-0.3858347,0.0456643,0.1414812,-0.3764522,0.0341041,0.1293985,0.0,0.0,0.0,-0.2815449,-0.1119016,0.047838,-0.2843175,-0.1169609,0.0240977,-0.2809512,-0.1244667,-0.0023447,-0.3800218,-0.0010202,0.0965199,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2859797,-0.1271227,-0.0091768,-0.4020732,-0.0036807,0.0949073,-0.3940517,-0.0361387,0.056077,-0.3566652,-0.0762827,0.0179037,-0.3224182,-0.1133731,-0.0149537,-0.4020067,-0.0216444,0.085085,-0.3963588,-0.0495236,0.0505617,-0.3767131,-0.0754638,0.0194418,-0.3518975,-0.0987716,-0.0078257,-0.4071905,-0.0249932,0.0770964,-0.4010022,-0.0502527,0.0507137,-0.383651,-0.0723422,0.0229467,-0.3750012,-0.0776783,0.0141848
1598347006.81,-0.2195899,-0.0174568,0.4673332,-0.3261584,0.0572437,0.2760598,-0.3888489,0.0518508,0.1408351,-0.3813784,0.0431838,0.1350558,0.0,0.0,0.0,-0.2833678,-0.1082675,0.0489139,-0.2826416,-0.119931,0.0210261,-0.2829898,-0.120109,-0.0034672,-0.385151,0.0081138,0.1019331,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2858071,-0.1277971,-0.0071395,-0.4073858,0.0054311,0.100307,-0.3942552,-0.031246,0.0572832,-0.3611198,-0.0722716,0.0167649,0.0,0.0,0.0,-0.4070936,-0.0126544,0.0878272,-0.4010344,-0.0413879,0.0528581,-0.3748188,-0.0783913,0.0163383,-0.3500222,-0.1017445,-0.010805,-0.4097638,-0.0204938,0.0784419,-0.4083268,-0.037605,0.0542875,-0.3906347,-0.0645197,0.0251755,-0.3731051,-0.0806127,0.0111025
1598347006.85,-0.2186303,-0.013674,0.4753734,-0.3310901,0.0677501,0.2806681,-0.3834953,0.0411827,0.1399843,-0.3784405,0.0419764,0.1398189,0.0,0.0,0.0,-0.2855591,-0.1086115,0.0489856,-0.2843175,-0.1169609,0.0240977,-0.2809512,-0.1244667,-0.0023447,-0.3873261,0.0167224,0.107022,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2859797,-0.1271227,-0.0091768,-0.4098903,0.0099232,0.1017033,-0.3917043,-0.0357702,0.0560001,-0.3568476,-0.0755697,0.0157502,-0.3224182,-0.1133731,-0.0149537,-0.4045501,-0.0171494,0.0864561,-0.3963588,-0.0495236,0.0505617,-0.3748188,-0.0783913,0.0163383,-0.3539502,-0.0951056,-0.0069402,-0.4073839,-0.0242371,0.0748125,-0.3964807,-0.0576516,0.0462064,-0.3881964,-0.0683424,0.021802,-0.3729233,-0.0813233,0.013249
1598347006.88,-0.2186303,-0.013674,0.4753734,-0.3310901,0.0677501,0.2806681,-0.3834953,0.0411827,0.1399843,-0.3785803,0.0377973,0.133281,0.0,0.0,0.0,-0.2837289,-0.1122445,0.0479095,-0.284493,-0.1162747,0.0220252,-0.2829898,-0.120109,-0.0034672,-0.3802907,0.0039947,0.1004508,0.0,0.0,0.0,-0.2973187,-0.1298525,0.0063909,-0.2859797,-0.1271227,-0.0091768,-0.4075847,0.0062082,0.0979598,-0.3895475,-0.0346566,0.053673,-0.3588661,-0.0719177,0.0166912,-0.3224182,-0.1133731,-0.0149537,-0.4071457,-0.0167644,0.0842333,-0.4014752,-0.0357544,0.0518067,-0.3725716,-0.0733255,0.0149732,-0.3541287,-0.0944078,-0.0090479,-0.4075685,-0.0276057,0.0690034,-0.4060906,-0.0406379,0.048528,-0.3815718,-0.0712687,0.0207033,-0.360604,-0.087908,-0.0027515
1598347006.91,-0.2212201,-0.0140806,0.4754581,-0.3310901,0.0677501,0.2806681,-0.3858347,0.0456643,0.1414812,-0.3813784,0.0431838,0.1350558,-0.3202651,-0.0433732,0.0929225,-0.2815449,-0.1119016,0.047838,-0.284493,-0.1162747,0.0220252,-0.2829898,-0.120109,-0.0034672,-0.3849149,0.0122218,0.1056111,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2876951,-0.1241175,-0.0062241,-0.4050794,0.0017133,0.0965723,-0.3867915,-0.0440794,0.0512012,-0.3568476,-0.0755697,0.0157502,-0.3224182,-0.1133731,-0.0149537,-0.4045924,-0.0212609,0.0828707,-0.3984368,-0.0459078,0.0515823,-0.3794927,-0.0701952,0.0184598,-0.356516,-0.0905232,-0.0058332,-0.4073758,-0.0283589,0.0712784,-0.4032841,-0.0458999,0.049502,-0.3883552,-0.0641618,0.0251009,-0.3772297,-0.0698399,0.0183858
1598347006.95,-0.2191711,-0.0190937,0.4722777,-0.3337333,0.0673352,0.2807546,-0.3858347,0.0456643,0.1414812,-0.3813784,0.0431838,0.1350558,0.0,0.0,0.0,-0.2815449,-0.1119016,0.047838,-0.2826416,-0.119931,0.0210261,-0.2829898,-0.120109,-0.0034672,-0.3827026,0.0084982,0.101853,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2878683,-0.1234407,-0.0082684,-0.4050794,0.0017133,0.0965723,-0.3893432,-0.0395523,0.0524755,-0.3566652,-0.0762827,0.0179037,-0.3224182,-0.1133731,-0.0149537,-0.4070936,-0.0126544,0.0878272,-0.4062295,-0.0323481,0.0554096,-0.3767131,-0.0754638,0.0194418,-0.3542668,-0.0984201,-0.0098547,-0.4073839,-0.0242371,0.0748125,-0.4083268,-0.037605,0.0542875,-0.3857418,-0.0687065,0.0239041,-0.3750012,-0.0776783,0.0141848
1598347007.0,-0.2165922,-0.0186888,0.4721933,-0.3339479,0.068174,0.2782208,-0.3858347,0.0456643,0.1414812,0.0,0.0,0.0,0.0,0.0,0.0,-0.2837289,-0.1122445,0.0479095,-0.2847961,-0.1202693,0.0210966,-0.2829898,-0.120109,-0.0034672,-0.3825038,0.0077211,0.1042002,0.0,0.0,0.0,-0.2992399,-0.1261925,0.0073499,-0.2838545,-0.126789,-0.0092464,-0.4048813,0.0009391,0.0989107,-0.3917043,-0.0357702,0.0560001,-0.3588661,-0.0719177,0.0166912,-0.3164568,-0.1244092,-0.0175829,-0.4070936,-0.0126544,0.0878272,-0.4010344,-0.0413879,0.0528581,-0.3794927,-0.0701952,0.0184598,-0.3518975,-0.0987716,-0.0078257,-0.4050027,-0.0279863,0.0712007,-0.4059007,-0.04138,0.0507696,-0.3815718,-0.0712687,0.0207033,-0.3723886,-0.0740408,0.0171337
