TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598347187.39,-0.1889289,-0.0054231,0.4794944,0.0,0.0,0.0,-0.3381135,0.0433201,0.1343758,-0.334033,0.0415918,0.1256001,0.0,0.0,0.0,-0.2572502,-0.1034435,0.0459527,-0.2693597,-0.1138987,0.0215299,-0.2779274,-0.1120781,0.0001599,-0.3601911,0.0209827,0.106134,0.0,0.0,0.0,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,0.0,0.0,0.0,-0.3771849,-0.0308998,0.0635209,-0.3564428,-0.0591514,0.0240566,-0.3340219,-0.0837345,-0.0036214,-0.3775936,-0.0006389,0.0964404,-0.3893245,-0.0271092,0.0628699,-0.3673952,-0.0665755,0.0254862,-0.3556223,-0.0798903,0.00088,-0.3857634,0.0055512,0.0935953,-0.3871854,-0.030136,0.0570519,-0.3720288,-0.0631035,0.0289492,-0.3657313,-0.0687816,0.0201849
1598347187.42,-0.1889289,-0.0054231,0.4794944,-0.2732906,0.0925676,0.2733389,-0.3429183,0.0532398,0.1376383,-0.3314206,0.0361689,0.1238527,-0.2684656,-0.077069,0.070063,-0.2600602,-0.1070865,0.0429361,-0.2693597,-0.1138987,0.0215299,-0.2777765,-0.1073694,-0.0010555,-0.3606666,0.011958,0.1011318,0.0,0.0,0.0,-0.2942891,-0.1182033,0.0110513,-0.2852039,-0.1150653,-0.0066622,-0.3801992,0.0137735,0.1030942,-0.3841411,-0.0182285,0.0671815,-0.3564428,-0.0591514,0.0240566,-0.3359932,-0.0800582,-0.0027314,-0.3855487,0.009668,0.0972387,-0.3937151,-0.0238638,0.0639874,-0.3701196,-0.0612987,0.0245042,-0.3556223,-0.0798903,0.00088,-0.3833862,-0.0073411,0.0824181,-0.3870094,-0.0350331,0.0558465,-0.3766147,-0.0549155,0.0311314,-0.3660988,-0.0673452,0.0158462
1598347187.45,-0.1887178,-0.006248,0.481986,0.0,0.0,0.0,-0.3381135,0.0433201,0.1343758,-0.3342366,0.0423875,0.1231966,0.0,0.0,0.0,-0.2600602,-0.1070865,0.0429361,-0.2693597,-0.1138987,0.0215299,-0.2797628,-0.108395,0.0010878,0.0,0.0,0.0,0.0,0.0,0.0,-0.2961803,-0.1145412,0.0120164,-0.2850296,-0.1157467,-0.0046038,-0.3699145,-0.0010365,0.1008577,-0.3866255,-0.013703,0.0684889,-0.3539579,-0.0637163,0.022864,-0.3359932,-0.0800582,-0.0027314,-0.3804888,0.0047689,0.0981124,-0.391342,-0.0234912,0.0639097,-0.3653093,-0.0654985,0.0232355,-0.35592,-0.0749579,0.0019304,-0.3828444,0.0001399,0.0919437,-0.389542,-0.030506,0.057129,-0.374067,-0.0594644,0.029919,-0.3728876,-0.0684111,0.0160683
1598347187.49,-0.1887178,-0.006248,0.481986,-0.2709337,0.0872165,0.2681656,0.0,0.0,0.0,-0.3342366,0.0423875,0.1231966,-0.2667418,-0.0807042,0.068948,-0.2576989,-0.1074367,0.0449582,-0.2693597,-0.1138987,0.0215299,-0.2799384,-0.1077089,-0.0009847,-0.357881,0.0164662,0.1047264,0.0,0.0,0.0,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3774588,0.0182716,0.1066991,0.0,0.0,0.0,-0.35197,-0.0673681,0.0219099,-0.3359932,-0.0800582,-0.0027314,-0.3827026,0.0084982,0.101853,0.0,0.0,0.0,-0.367655,-0.0616643,0.0266148,-0.3533924,-0.0795402,0.000807,0.0,0.0,0.0,0.0,0.0,0.0,-0.374067,-0.0594644,0.029919,-0.3635566,-0.0719102,0.0146782
1598347187.52,-0.1887178,-0.006248,0.481986,-0.26774,0.0925586,0.2757211,-0.3407343,0.0487308,0.1361553,-0.3319324,0.0320485,0.1200936,0.0,0.0,0.0,-0.2594415,-0.1037875,0.0460244,-0.2693597,-0.1138987,0.0215299,-0.2784135,-0.1154169,-0.0027562,-0.3582182,0.0123424,0.1010517,-0.3538102,-0.0264519,0.0604905,-0.2921346,-0.117865,0.0109808,-0.2852039,-0.1150653,-0.0066622,-0.377542,0.0133793,0.1053698,-0.3841411,-0.0182285,0.0671815,-0.358245,-0.0562254,0.0272029,-0.3340219,-0.0837345,-0.0036214,-0.3829014,0.0092753,0.0995057,-0.3938639,-0.0189685,0.0652095,-0.3673952,-0.0665755,0.0254862,-0.3533924,-0.0795402,0.000807,-0.3854699,0.0005293,0.0896953,-0.3964396,-0.0185865,0.0630037,-0.3720288,-0.0631035,0.0289492,-0.3658103,-0.072264,0.0147519
1598347187.55,-0.1889289,-0.0054231,0.4794944,-0.2694871,0.0961674,0.2831188,-0.3429183,0.0532398,0.1376383,-0.3313222,0.0411897,0.1279216,0.0,0.0,0.0,-0.2616328,-0.1041315,0.0460961,-0.2693597,-0.1138987,0.0215299,-0.2779274,-0.1120781,0.0001599,-0.3607378,0.0176404,0.1000948,-0.3540015,-0.025704,0.0582313,-0.2961803,-0.1145412,0.0120164,-0.2850296,-0.1157467,-0.0046038,-0.377542,0.0133793,0.1053698,-0.3797328,-0.0305219,0.0613388,-0.35197,-0.0673681,0.0219099,-0.3340219,-0.0837345,-0.0036214,-0.3826568,0.0133876,0.1031746,-0.3916903,-0.0274807,0.0629474,-0.3701196,-0.0612987,0.0245042,-0.3579421,-0.071292,0.0028291,-0.3806868,0.005543,0.095774,-0.3823146,-0.034296,0.0556929,-0.3789752,-0.0510981,0.0345536,-0.3703047,-0.0605753,0.022319
1598347187.59,-0.1889289,-0.0054231,0.4794944,-0.2754956,0.0978764,0.2755921,-0.3429183,0.0532398,0.1376383,-0.3291271,0.037353,0.121378,-0.2684656,-0.077069,0.070063,-0.2578762,-0.1067436,0.0428646,-0.2693597,-0.1138987,0.0215299,-0.2796052,-0.1036828,-0.0001348,-0.3605382,0.0168604,0.1024508,0.0,0.0,0.0,-0.2921346,-0.117865,0.0109808,-0.2852039,-0.1150653,-0.0066622,-0.3777416,0.0141593,0.1030138,-0.3866255,-0.013703,0.0684889,-0.3561439,-0.0551406,0.0249358,-0.3340219,-0.0837345,-0.0036214,-0.3829014,0.0092753,0.0995057,-0.3962462,-0.0193425,0.0652875,-0.3675796,-0.0658549,0.0233097,-0.3601885,-0.0716447,0.0029026,-0.3806083,-0.0036017,0.0882484,-0.3871854,-0.030136,0.0570519,-0.3720288,-0.0631035,0.0289492,-0.3706247,-0.0680558,0.0159943
1598347187.62,-0.1887178,-0.006248,0.481986,0.0,0.0,0.0,-0.3361331,0.0396067,0.1304893,-0.3272676,0.0279169,0.1185648,-0.2684656,-0.077069,0.070063,-0.2578762,-0.1067436,0.0428646,-0.2693597,-0.1138987,0.0215299,-0.2776009,-0.1080556,0.0010171,-0.3653251,0.020991,0.1039307,-0.3540015,-0.025704,0.0582313,-0.2960048,-0.1152273,0.0140889,-0.2850296,-0.1157467,-0.0046038,-0.377542,0.0133793,0.1053698,0.0,0.0,0.0,-0.3562577,-0.0598749,0.0262418,-0.3359932,-0.0800582,-0.0027314,-0.3853498,0.0088909,0.0995859,-0.3962462,-0.0193425,0.0652875,-0.3699345,-0.0620222,0.0266894,-0.3579421,-0.071292,0.0028291,-0.3830416,0.0009106,0.0896159,-0.384662,-0.0346645,0.0557697,-0.3738813,-0.0601902,0.0321113,-0.3657313,-0.0687816,0.0201849
1598347187.65,-0.1887178,-0.006248,0.481986,0.0,0.0,0.0,-0.3429183,0.0532398,0.1376383,-0.3316233,0.0369611,0.1214597,0.0,0.0,0.0,-0.2594415,-0.1037875,0.0460244,-0.2689905,-0.1098937,0.0224564,-0.2799384,-0.1077089,-0.0009847,-0.3628583,0.0213783,0.1038499,-0.3516449,-0.025334,0.0581542,-0.2961803,-0.1145412,0.0120164,-0.2852039,-0.1150653,-0.0066622,-0.3753573,0.0096515,0.1016126,-0.3816567,-0.022754,0.0658741,-0.3564428,-0.0591514,0.0240566,-0.3340219,-0.0837345,-0.0036214,-0.3780495,0.0051518,0.0980326,-0.3893245,-0.0271092,0.0628699,-0.3701196,-0.0612987,0.0245042,-0.3493483,-0.0868721,-0.0009904,-0.3830416,0.0009106,0.0896159,-0.386994,-0.030884,0.059311,-0.3766147,-0.0549155,0.0311314,-0.3658103,-0.072264,0.0147519
1598347187.69,-0.1873415,-0.0096165,0.4768391,-0.2735072,0.093414,0.2707821,-0.3408343,0.0437236,0.1320458,-0.3316233,0.0369611,0.1214597,0.0,0.0,0.0,-0.2578762,-0.1067436,0.0428646,-0.2711598,-0.1102343,0.0225273,-0.2781024,-0.1113943,-0.0019056,-0.3582182,0.0123424,0.1010517,-0.3561668,-0.0268219,0.0605676,-0.2960048,-0.1152273,0.0140889,-0.2828823,-0.1154096,-0.0046741,-0.3799996,0.0129935,0.1054502,-0.372406,-0.0392089,0.0586645,-0.3562577,-0.0598749,0.0262418,-0.3342018,-0.0830315,-0.005745,-0.3853498,0.0088909,0.0995859,-0.3938639,-0.0189685,0.0652095,-0.367655,-0.0616643,0.0266148,0.0,0.0,0.0,-0.3830274,-0.0039815,0.0883275,-0.3897087,-0.0256075,0.058334,-0.374067,-0.0594644,0.029919,-0.3638359,-0.0669899,0.0157721
